establishment_or_candidate,authority,identifier_type,identifier_value,source,already_present,proposed_action,confidence
e0f3e023-7eea-4094-ad85-62472d7f06fb,MINESUP,OPENING_AUTHORIZATION,N°12/0361/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
02145db9-77d6-4243-9379-7256179f397b,MINESUP,CREATION_ORDER,N°16-0834/MINESUP/SG/DDES/ESUP du 14 septembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
02145db9-77d6-4243-9379-7256179f397b,MINESUP,OPENING_AUTHORIZATION,N°17-03857/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 25 avril 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a3e97859-690c-4ab1-82b4-adf31416bcc3,MINESUP,CREATION_ORDER,N°12/0638/MINESUP du 23 novembre 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a3e97859-690c-4ab1-82b4-adf31416bcc3,MINESUP,OPENING_AUTHORIZATION,N°13/0584/MINESUP du 02 décembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
2b083f50-6673-4299-9be7-116ad299f03f,MINESUP,CREATION_ORDER,15/0015/MINESUP/SG/DDES/ESUP du 28 Janvier 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
2b083f50-6673-4299-9be7-116ad299f03f,MINESUP,OPENING_AUTHORIZATION,16/0635/L/MINESUP/SG/DDES/ESUP du 17 JUIN 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e4b6e83d-5e30-464f-889a-b217f12b462e,MINESUP,CREATION_ORDER,N°13/0412/MINESUP/SG/DDES/ESUP du 10 septembre 2013,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e4b6e83d-5e30-464f-889a-b217f12b462e,MINESUP,OPENING_AUTHORIZATION,N°14/0386/MINESUP/SG/DDES/ESUP du 04septembre 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
ecd9f4c8-0ed5-49d7-ac32-af12ca7a1758,MINESUP,CREATION_ORDER,N°11/0533/MINESUP/SG/DDES du 05 octobre 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
